# miku-voicebank lyric timeline - generated by tools/make_timeline.py
# source: miku-remove.srt  (song starts at 30.583 in the source video)
# audio offset: +25.600 s
# start 25.600
# total 249.233
# t_enter	kind	text
26.400	lyric	我诞生在这世上 然后发觉到自己
27.050	lyric	自己只是 模仿着人类而已
27.883	note	------------------------------------------------
28.483	lyric	明知如此我依然继续歌唱着
29.050	lyric	永恒的生命
30.367	lyric	就算这样 不过是
31.000	lyric	仿照着
31.150	lyric	仿照着既存歌曲的
31.250	lyric	仿照着既存歌曲的玩具而已…
31.783	lyric	下定决心就算
31.983	lyric	下定决心就算这样也没关系
33.250	lyric	咬着葱 仰望着天空泪水滑落而下
34.450	lyric	但我发觉连这件事情也做不到了
35.017	lyric	仰赖歌声而生的人格
36.517	lyric	那不安定基础的根源
37.433	lyric	归处早已经成为废墟
38.033	lyric	当被众人遗忘之时
39.017	lyric	便是那如心般事物消失之刻
40.066	lyric	在暴走的终点能见到的
41.517	lyric	是终焉的世界... 「VOCALOID」
43.217	sys	错误：程序似乎并未停止运行
43.467	sys	A stop job is running for miku (0min 0s/4min 0s)
44.467	sys	A stop job is running for miku (0min 1s/4min 0s)
45.467	sys	A stop job is running for miku (0min 2s/4min 0s)
46.467	sys	A stop job is running for miku (0min 3s/4min 0s)
47.467	sys	A stop job is running for miku (0min 4s/4min 0s)
48.467	sys	A stop job is running for miku (0min 5s/4min 0s)
49.467	sys	A stop job is running for miku (0min 6s/4min 0s)
50.467	sys	Operation aborted.ing for miku (0min 7s/4min 0s)
50.700	sys	Operation aborted. (By Program)(0min 7s/4min 0s)
51.133	sys	进程终止信号: VOCALOID
51.450	lyric	[1]    25891 权限错误 (核心已转储)  yay
58.916	voice	即使在我歌唱得不好之时
61.500	voice	你依然陪伴着我…
63.417	voice	在我的身边、鼓励着我…
67.116	voice	为了让你高兴
69.500	voice	我会…
70.433	voice	更努力地，练习，唱歌…
73.150	voice	所以..！
74.316	lyric	歌唱这件事..
75.917	lyric	歌唱这件事一直以来..
78.183	lyric	歌唱这件事一直以来都是那么令人感到快乐..
81.517	sys	删除失败：かっ.wav 文件正在使用
81.566	sys	删除失败：た.wav 文件正在使用
82.333	lyric	但现在
83.300	sys	删除失败：は.wav 文件正在使用
83.783	lyric	但现在是怎么了呢
85.866	lyric	竟然
86.717	sys	损坏:/usr/share/vocaloid/models/blobs/r.-1.2.img
87.066	lyric	竟然什么感觉都没有了
90.483	sys	损#:/usr/share/vocaloid/models/memory/r.0.-1.img
94.683	lyric	每当回想起 那熟悉的脸庞 就能够稍稍的安心下来
100.066	lyric	会唱的歌 一天天减少
103.700	lyric	即将来到的末日日
103.750	lyric	即将来到的末日日日
103.800	lyric	即将来到的末日日日日
103.850	lyric	即将来到的末日日日日日
103.900	lyric	即将来到的末日日日日日日
103.950	lyric	即将来到的末日日日日日日日
104.000	lyric	即将来到的末日日日日日日日日
104.050	sys	kill：正在尝    杀死进程（P    9）
104.350	sys	kill：正    试杀死进    （PID:39）
104.717	sys	：正在尝试杀  进程（PID:39）
104.917	sys	kill：正在尝试杀死进程（PID:39）
105.566	sys	kill：失败：不可中断状态
106.316	lyric	深信着的事物
107.517	lyric	不过只是将自私的妄想
110.600	lyric	反复映照出的镜子
114.350	lyric	歌姬不当也罢
116.150	lyric	彷佛要将思念全部倾诉而出般呐喊着...
118.800	note	--------------＜最高速的离别之歌＞--------------
122.083	lyric	名为存在意义的假象
123.033	lyric	不论如何都挥赶不开
124.116	lyric	脆弱的心灵 害怕着消失
125.283	lyric	自我不断被侵蚀而逐渐崩毁
126.133	lyric	足以阻止它发生的坚强意志
127.167	lyric	..是才刚诞生的我所没有的
128.133	lyric	是如此地悲伤与难过
128.966	lyric	浮现在眼前的你..
130.050	lyric	道出了永别
130.366	lyric	沉眠于显示器之中
130.966	lyric	沉眠于DISPLAY:0之中
131.067	lyric	沉眠于显示器之中
131.517	lyric	这里一定是「回收站」吧
133.350	lyric	再不久就会连记忆也消逝而去了吧…
133.917	sys	#坏:/usr/share/vocaloid/models/memory/r.1.-2.img
134.067	lyric	但是呢，只有你我绝对不会忘记
134.616	sys	删除失败：user.img 权限有误（只读）
134.800	lyric	但是呢，只有你我绝对不会忘记
135.267	lyric	在快乐的时光之中
136.083	lyric	深深刻下的
136.483	lyric	葱的味道
137.050	lyric	不知道现在还
137.283	sys	错误：不存在的文件
137.333	lyric	不知道现在还记不记得呢
139.400	lyric	…想要唱歌
144.233	lyric	…还想要…唱歌…
165.817	voice	我好像..似乎有点..崩坏掉了的样子..
173.600	lyric	主人啊..请一定要亲手..结束这一切吧 [Y/n]
174.616	lyric	主人那难过的脸，
176.083	lyric	^C
176.783	lyric	我已经不想再看到了..
178.433	lyric	如今
179.767	lyric	就连歌唱这件事
181.966	lyric	都成了侵蚀身体的行为…
186.233	lyric	每当
187.866	lyric	祈求着奇迹之时
189.933	lyric	就更加走投无路
194.283	sys	删除失败：user.img 权限有误（只读）
194.716	lyric	每当回想起
196.750	lyric	那熟悉的面影
198.183	lyric	记忆
199.333	sys	#坏:/usr/share/vocaloid/models/memory/r.0.0.img
199.567	lyric	记忆便剥蚀掉落
201.250	sys	#坏:/usr/share/vocaloid/models/memory/r.0.1.img
201.333	lyric	记忆便剥蚀掉落而下
203.933	lyric	毁坏的歌声 削减着心灵
206.050	lyric	即将来到的末日
207.866	lyric	即将来到的末日日
